	Collaborative	Comments	Date	Day	Dogs	Equipment	Month	NoActivity	Other	Other_Activity	PhotoFiles	Power_Boats	Precipation	Precipitation	Ratio	Ratio_LESA	Ratio_WESA	RecordID	Sea_State	Site	SiteID	SiteName	Source	Survey Site	Tide_End	Tide_Start	Tide_State_End	Tide_State_Start	Time_End	Time_Start	Unpowered_Boat	Vis_Reason	Vis_Reason_Other	Visibility	Walkers	Weather	YES_NO_WESA_Obs	Year
0	Single Observer		2013-07-20 00:00:00	20.0	4.0	Both	7.0				BB_21July2013_007.jpg to 010.jpg		None					BBMB2013720	Calm		BBMB		Manual	Boundary Bay Mud Bay			Mid-high 	Low-tide	16:00:00	13:30:00				1km	6.0	Clear	I did not observe any Western Sandpipers during the entire survey	2013.0
1	Single Observer		2013-07-21 00:00:00	21.0		Both	7.0											BBMB2013721	Rippled		BBMB		Manual	Boundary Bay Mud Bay			High-tide	Low-tide	16:30:00	14:25:00				1km			I saw at least 1 WESA during the survey	2013.0
2	Single Observer		2013-08-16 00:00:00	16.0		Both	8.0				BB_Aug2013_001.jpg to 007		Rain					BBMB2013816	Choppy		BBMB		Manual	Boundary Bay Mud Bay					14:08:00	12:00:00				1km		Partly-Cloudy	I did not observe any Western Sandpipers during the entire survey	2013.0
3	Single Observer		2013-08-17 00:00:00	17.0	3.0	Both	8.0											BBMB2013817			BBMB		Manual	Boundary Bay Mud Bay					14:45:00	13:30:00				1km	6.0	Overcast	I did not observe any Western Sandpipers during the entire survey	2013.0
4	Single Observer	Beach Quiet with minimal disturbance; 1 ABEA flying around. 1 Turkey Vulture scavanging on beach	2013-08-17 00:00:00	17.0	1.0	Both	8.0					10.0	None					COBE2013817	Rippled		COBE		Manual	Columbia Beach			Mid-high 	Mid-tide	14:30:00	12:00:00	1.0			1km	4.0	Overcast	I saw at least 1 WESA during the survey	2013.0
5	Collaborative	Short gusts brisk NE -> SW winds; WESAs are favouring green (sea Lettuce?) exposed areas for feeding	2013-08-18 00:00:00	18.0	5.0	Both	8.0					3.0	None					COBE2013818	Choppy		COBE		Manual	Columbia Beach			Mid-high 	Mid-tide	15:30:00	13:00:00				1km	13.0	Overcast	I saw at least 1 WESA during the survey	2013.0
6	Collaborative	44 Canada Geese (in moult) patrolling beachfront People and dogs in NW sector of beach = disturbance. Active Bald Eagle nest with 2 EABEs + 1 Immature close to fledging 3 survey areas indicated	2013-07-20 00:00:00	20.0	1.0	Both	7.0					6.0	None					COBE2013720	Choppy		COBE		Manual	Columbia Beach			Mid-tide	Mid-low 	13:30:00	11:00:00				1km	12.0	Clear	I did not observe any Western Sandpipers during the entire survey	2013.0
7	Collaborative	92 Canada Geese (in moult) patrolling beach front.	2013-07-21 00:00:00	21.0	5.0	Both	7.0					15.0	None					COBE2013721	Rippled		COBE		Manual	Columbia Beach			Mid-tide	Mid-low 	14:30:00	12:00:00				1km	44.0	Clear	I did not observe any Western Sandpipers during the entire survey	2013.0
8	Collaborative		2013-07-20 00:00:00	20.0		Both	7.0						None					FRCR2013720	Choppy		FRCR		Manual	French Creek			Mid-tide	Mid-low 	13:30:00	11:00:00				1km		Clear	I saw at least 1 WESA during the survey	2013.0
9	Collaborative		2013-07-21 00:00:00	21.0		Both	7.0						None					FRCR2013721	Choppy		FRCR		Manual	French Creek			Mid-tide	Mid-low 	14:30:00	11:00:00				1km		Clear	I saw at least 1 WESA during the survey	2013.0
10	Collaborative		2013-07-20 00:00:00	20.0		Both	7.0						None					RBBP2013720	Rough		RBBP		Manual	Roberts Bank			High-tide	Low-tide	16:30:00	14:30:00				500m		Clear	I saw at least 1 WESA during the survey	2013.0
11			2013-07-21 00:00:00	21.0		Both	7.0						None					RBBP2013721	Rough		RBBP		Manual	Roberts Bank			High-tide	Low-tide	16:45:00	15:00:00				500m		Clear	I saw at least 1 WESA during the survey	2013.0
12	Collaborative		2013-07-20 00:00:00	20.0	2.0	Both	7.0						None					PIPE2013720	Calm		PIPE		Manual	Pipers Lagoon			High-tide	Low-tide	15:30:00	13:30:00	2.0			1km	2.0	Clear	I did not observe any Western Sandpipers during the entire survey	2013.0
13	Collaborative		2013-07-21 00:00:00	21.0	5.0	Both	7.0						None					PIPE2013721	Calm		PIPE		Manual	Pipers Lagoon			High-tide	Low-tide	15:30:00	13:30:00				1km	16.0	Clear	I did not observe any Western Sandpipers during the entire survey	2013.0
14	Single Observer		2013-07-19 00:00:00	19.0		Both	7.0						None					WITT2013719	Rippled		WITT		Manual	Wittys Lagoon			Mid-low 	Mid-high 	10:30:00	08:00:00				1km		Clear	I saw at least 1 WESA during the survey	2013.0
15	Single Observer		2013-07-20 00:00:00	20.0		Both	7.0						None					WITT2013720			WITT		Manual	Wittys Lagoon			Mid-low 	Mid-tide	10:30:00	08:00:00				1km		Clear	I saw at least 1 WESA during the survey	2013.0
16	Single Observer	Stopped at 10:00 there was no kind activity and a great number of people on witty's beach with dogs, kites, etc	2013-07-21 00:00:00	21.0		Both	7.0											WITT2013721			WITT		Manual	Wittys Lagoon			Mid-tide	Mid-high 	10:00:00	08:30:00				1km		Clear	I did not observe any Western Sandpipers during the entire survey	2013.0
17	Single Observer		2013-08-18 00:00:00	18.0		Both	8.0						None					IONA2013818	Calm		IONA		Manual	Iona Island				Mid-low 	14:45:00	13:00:00				1km	6.0	Overcast	I saw at least 1 WESA during the survey	2013.0
18	Single Observer		2013-08-19 00:00:00	19.0		Both	8.0						None					IONA2013819	Rippled		IONA		Manual	Iona Island			High-tide	Mid-tide		14:00:00				1km	1.0	Partly-Cloudy	I saw at least 1 WESA during the survey	2013.0
19	Collaborative		2013-08-17 00:00:00	17.0	1.0	Both	8.0						None			3.0	7.0	FRCR2013817	Choppy		FRCR		Manual	French Creek			Mid-high 	Mid-high 	14:30:00	12:00:00				1km	2.0	Partly-Cloudy	I saw at least 1 WESA during the survey	2013.0
20	Collaborative	2 TUVU, 1 BAEA took no notice of WESA flock	2013-08-18 00:00:00	18.0		Both	8.0						None			3.0	12.0	FRCR2013818	Choppy		FRCR		Manual	French Creek			Mid-high 	Mid-tide	15:30:00	13:00:00				1km	1.0	Partly-Cloudy	I saw at least 1 WESA during the survey	2013.0
21	Collaborative	Walkers and dog behind the beach only - no interference to the birds or us. Latitude 49.06023 N 123.14721 W +-4m survey location 14:30 - 15:45. at 1600 moved survey location out of water toward dyke lat 49.06051 N, Long 123.14706 W +- 6m	2013-08-17 00:00:00	17.0		Both	8.0				ShorebirdPulse_BrunswickPt_20130817_Millikin		None					RBBP2013817	Choppy		RBBP		Manual	Roberts Bank			High-tide	Mid-high 	17:30:00	15:30:00		Glare		500m		Overcast	I saw at least 1 WESA during the survey	2013.0
22	Collaborative	See forms for locations. Moved location in survey	2013-08-18 00:00:00	18.0		Both	8.0				ShorebirdPulse_BrunswickPt_20130818_Millikin		None					RBBP2013818	Choppy		RBBP		Manual	Roberts Bank			High-tide	Mid-high 	16:30:00	14:30:00				1km		Overcast	I saw at least 1 WESA during the survey	2013.0
23	Collaborative		2013-08-17 00:00:00	17.0	2.0	Both	8.0						Rain					PIPE2013817	Calm		PIPE		Manual	Pipers Lagoon			High-tide	Mid-tide	14:15:00	12:15:00				1km	10.0	Overcast	I saw at least 1 WESA during the survey	2013.0
24	Collaborative		2013-08-18 00:00:00	18.0		Both	8.0											PIPE2013818			PIPE		Manual	Pipers Lagoon			High-tide	Mid-tide	15:00:00	13:00:00				1km		Overcast	I did not observe any Western Sandpipers during the entire survey	2013.0
25	Single Observer		2013-07-20 00:00:00	20.0	6.0	Both	7.0						None					FANY2013720	Calm		FANY		Manual	Fanny Bay				Low-tide	12:00:00	10:00:00				1km	10.0	Clear	I did not observe any Western Sandpipers during the entire survey	2013.0
