	ALT_D2S	Alt_Count	Alt_Density	Alt_WESA_PEEPS	Count	CountNum	D2S	Date	Day	Density	FurtherCounts	Group	ID	Map	Method	Month	Observations	RecordID	Site	SiteID	Source	Time	Time_Duplicate	WESA_PEEPS	Year
0					0	1	>1km				Yes	Wesa	BB722013720_W1			7	No birds visible. Small group of 7 peeps flew east prior to count start	BB722013720		BB72	Online	1400			
1					17	1	50m			Dense	Yes	Wesa	ENBO2013721_W1		Direct Counts	7	Flying right to left	ENBO2013721		ENBO	Online	1:15 PM			
2					0	1	.25km				No	Wesa	KALE2013720_W1		Direct Counts	7		KALE2013720		KALE	Online	700			
3						1					No	Wesa	COMX2013720_W1			7	There were no WESA spotted during the entire obs period.	COMX2013720		COMX	Online				
4						1					No	Wesa	COMX2013721_W1		Direct Counts	7	"There were no WESA observed
And no Falcons or Merlin observed"	COMX2013721		COMX	Online	zero			
5						1					Yes	Wesa	NANO2013720_W1			7	"No Sandpipers
1 Merlin"	NANO2013720		NANO	Online	11:00			
6					Zero	1					No	Wesa	NANO2013721_W1			7	"No Sandpipers or Merlins were observed at all today
7 Herons"	NANO2013721		NANO	Online	12:00			
7					0	1	1200m				Yes	Wesa	IONA2013719_W1		Direct Counts	7	There were 1000s of birds using the mudflats here in the late 1970s and 1980s. Two changes are the sewage is now treated and pumped far offshore and falcons are more numerous.	IONA2013719		IONA	Online	1330			
8					0	1	>2km				Yes	Wesa	IONA2013720_W1		Direct Counts	7		IONA2013720		IONA	Online	1345			
9					0	1	>2km				Yes	Wesa	IONA2013721_W1			7		IONA2013721		IONA	Online	1345			
10						1					No	Wesa	COWC2013719_W1			7		COWC2013719		COWC	Online				
11						1					No	Wesa	COWC2013720_W1			7		COWC2013720		COWC	Online				
12					0	1	300 m				Yes	Wesa	ESQU2013722_W1		Direct Counts	7	No subject birds seen.  Fog off shore is starting to move in.	ESQU2013722		ESQU	Online	1100			
